"Statistic Label","Year","Days of Week","UNIT","VALUE"
"Average Red Line Flow","2018","Sunday","Number","34860"
"Average Red Line Flow","2018","Monday","Number","60673"
"Average Red Line Flow","2018","Tuesday","Number","65632"
"Average Red Line Flow","2018","Wednesday","Number","67364"
"Average Red Line Flow","2018","Thursday","Number","69442"
"Average Red Line Flow","2018","Friday","Number","72705"
"Average Red Line Flow","2018","Saturday","Number","49270"
"Average Red Line Flow","2019","Sunday","Number","43538"
"Average Red Line Flow","2019","Monday","Number","65429"
"Average Red Line Flow","2019","Tuesday","Number","70434"
"Average Red Line Flow","2019","Wednesday","Number","72341"
"Average Red Line Flow","2019","Thursday","Number","76716"
"Average Red Line Flow","2019","Friday","Number","79414"
"Average Red Line Flow","2019","Saturday","Number","53190"
"Average Red Line Flow","2020","Sunday","Number","14165"
"Average Red Line Flow","2020","Monday","Number","27913"
"Average Red Line Flow","2020","Tuesday","Number","29892"
"Average Red Line Flow","2020","Wednesday","Number","29560"
"Average Red Line Flow","2020","Thursday","Number","30784"
"Average Red Line Flow","2020","Friday","Number","32131"
"Average Red Line Flow","2020","Saturday","Number","21456"
"Average Red Line Flow","2021","Sunday","Number","17513"
"Average Red Line Flow","2021","Monday","Number","27503"
"Average Red Line Flow","2021","Tuesday","Number","29451"
"Average Red Line Flow","2021","Wednesday","Number","29723"
"Average Red Line Flow","2021","Thursday","Number","31250"
"Average Red Line Flow","2021","Friday","Number","31954"
"Average Red Line Flow","2021","Saturday","Number","25075"
"Average Green Line Flow","2018","Sunday","Number","28094"
"Average Green Line Flow","2018","Monday","Number","56594"
"Average Green Line Flow","2018","Tuesday","Number","61457"
"Average Green Line Flow","2018","Wednesday","Number","63034"
"Average Green Line Flow","2018","Thursday","Number","65568"
"Average Green Line Flow","2018","Friday","Number","68013"
"Average Green Line Flow","2018","Saturday","Number","41849"
"Average Green Line Flow","2019","Sunday","Number","34841"
"Average Green Line Flow","2019","Monday","Number","68044"
"Average Green Line Flow","2019","Tuesday","Number","74471"
"Average Green Line Flow","2019","Wednesday","Number","77667"
"Average Green Line Flow","2019","Thursday","Number","80878"
"Average Green Line Flow","2019","Friday","Number","82514"
"Average Green Line Flow","2019","Saturday","Number","47486"
"Average Green Line Flow","2020","Sunday","Number","14178"
"Average Green Line Flow","2020","Monday","Number","26689"
"Average Green Line Flow","2020","Tuesday","Number","28570"
"Average Green Line Flow","2020","Wednesday","Number","29129"
"Average Green Line Flow","2020","Thursday","Number","29959"
"Average Green Line Flow","2020","Friday","Number","31067"
"Average Green Line Flow","2020","Saturday","Number","20981"
"Average Green Line Flow","2021","Sunday","Number","16128"
"Average Green Line Flow","2021","Monday","Number","25037"
"Average Green Line Flow","2021","Tuesday","Number","27303"
"Average Green Line Flow","2021","Wednesday","Number","28445"
"Average Green Line Flow","2021","Thursday","Number","29775"
"Average Green Line Flow","2021","Friday","Number","30761"
"Average Green Line Flow","2021","Saturday","Number","23517"
